Valores completos da instância analisada:

   1. dl_bitrate_1                  : 13419300
 669. cell_x_ul_retx_84             : -1
 670. cell_x_ul_tx_84               : -1
 671. ul_total_bytes_non_incr_84    : 420
 672. dl_total_bytes_non_incr_84    : 8450882
 673. dl_bitrate_85                 : 13449229
 674. ul_bitrate_85                 : 57677
 675. cell_x_dl_retx_85             : -1
 676. cell_x_dl_tx_85               : -1
 677. cell_x_ul_retx_85             : -1
 678. cell_x_ul_tx_85               : -1
 679. ul_total_bytes_non_incr_85    : 420
 680. dl_total_bytes_non_incr_85    : 8587289
 681. dl_bitrate_86                 : 11263081
 682. ul_bitrate_86                 : 59067
 683. cell_x_dl_retx_86             : -1
 684. cell_x_dl_tx_86               : -1
 685. cell_x_ul_retx_86             : -1
 686. cell_x_ul_tx_86               : -1
 687. ul_total_bytes_non_incr_86    : 420
 688. dl_total_bytes_non_incr_86    : 7112129
 689. dl_bitrate_87                 : 14900337
 690. ul_bitrate_87                 : 59645
 691. cell_x_dl_retx_87             : -1
 692. cell_x_dl_tx_87               : -1
 693. cell_x_ul_retx_87             : -1
 694. cell_x_ul_tx_87               : -1
 695. ul_total_bytes_non_incr_87    : 420
 696. dl_total_bytes_non_incr_87    : 9444070
 697. dl_bitrate_88                 : 12852542
 698. ul_bitrate_88                 : 59495
 699. cell_x_dl_retx_88             : -1
 700. cell_x_dl_tx_88               : -1
 701. cell_x_ul_retx_88             : -1
 702. cell_x_ul_tx_88               : -1
 703. ul_total_bytes_non_incr_88    : 420
 704. dl_total_bytes_non_incr_88    : 8170661
 705. dl_bitrate_89                 : 13355445
 706. ul_bitrate_89                 : 58681
 707. cell_x_dl_retx_89             : -1
 708. cell_x_dl_tx_89               : -1
 709. cell_x_ul_retx_89             : -1
 710. cell_x_ul_tx_89               : -1
 711. ul_total_bytes_non_incr_89    : 420
 712. dl_total_bytes_non_incr_89    : 8373488
 713. dl_bitrate_90                 : 11804258
 714. ul_bitrate_90                 : 58914
 715. cell_x_dl_retx_90             : -1
 716. cell_x_dl_tx_90               : -1
 717. cell_x_ul_retx_90             : -1
 718. cell_x_ul_tx_90               : -1
 719. ul_total_bytes_non_incr_90    : 504
 720. dl_total_bytes_non_incr_90    : 7528826
 721. dl_bitrate_91                 : 13636504
 722. ul_bitrate_91                 : 60063
 723. cell_x_dl_retx_91             : -1
 724. cell_x_dl_tx_91               : -1
 725. cell_x_ul_retx_91             : -1
 726. cell_x_ul_tx_91               : -1
 727. ul_total_bytes_non_incr_91    : 420
 728. dl_total_bytes_non_incr_91    : 8590134
 729. dl_bitrate_92                 : 13838695
 730. ul_bitrate_92                 : 57740
 731. cell_x_dl_retx_92             : -1
 732. cell_x_dl_tx_92               : -1
 733. cell_x_ul_retx_92             : -1
 734. cell_x_ul_tx_92               : -1
 735. ul_total_bytes_non_incr_92    : 420
 736. dl_total_bytes_non_incr_92    : 8798472
 737. dl_bitrate_93                 : 10904606
 738. ul_bitrate_93                 : 58731
 739. cell_x_dl_retx_93             : -1
 740. cell_x_dl_tx_93               : -1
 741. cell_x_ul_retx_93             : -1
 742. cell_x_ul_tx_93               : -1
 743. ul_total_bytes_non_incr_93    : 420
 744. dl_total_bytes_non_incr_93    : 6907003
 745. dl_bitrate_94                 : 15520622
 746. ul_bitrate_94                 : 57373
 747. cell_x_dl_retx_94             : -1
 748. cell_x_dl_tx_94               : -1
 749. cell_x_ul_retx_94             : -1
 750. cell_x_ul_tx_94               : -1
 751. ul_total_bytes_non_incr_94    : 420
 752. dl_total_bytes_non_incr_94    : 9845007
 753. dl_bitrate_95                 : 13344737
 754. ul_bitrate_95                 : 58686
 755. cell_x_dl_retx_95             : -1
 756. cell_x_dl_tx_95               : -1
 757. cell_x_ul_retx_95             : -1
 758. cell_x_ul_tx_95               : -1
 759. ul_total_bytes_non_incr_95    : 420
 760. dl_total_bytes_non_incr_95    : 8467150
 761. dl_bitrate_96                 : 13781017
 762. ul_bitrate_96                 : 58469
 763. cell_x_dl_retx_96             : -1
 764. cell_x_dl_tx_96               : -1
 765. cell_x_ul_retx_96             : -1
 766. cell_x_ul_tx_96               : -1
 767. ul_total_bytes_non_incr_96    : 420
 768. dl_total_bytes_non_incr_96    : 8676528
 769. dl_bitrate_97                 : 11056446
 770. ul_bitrate_97                 : 58409
 771. cell_x_dl_retx_97             : -1
 772. cell_x_dl_tx_97               : -1
 773. cell_x_ul_retx_97             : -1
 774. cell_x_ul_tx_97               : -1
 775. ul_total_bytes_non_incr_97    : 420
 776. dl_total_bytes_non_incr_97    : 7040702
 777. dl_bitrate_98                 : 15186553
 778. ul_bitrate_98                 : 56618
 779. cell_x_dl_retx_98             : -1
 780. cell_x_dl_tx_98               : -1
 781. cell_x_ul_retx_98             : -1
 782. cell_x_ul_tx_98               : -1
 783. ul_total_bytes_non_incr_98    : 504
 784. dl_total_bytes_non_incr_98    : 9606757
 785. dl_bitrate_99                 : 12599278
 786. ul_bitrate_99                 : 58722
 787. cell_x_dl_retx_99             : -1
 788. cell_x_dl_tx_99               : -1
 789. cell_x_ul_retx_99             : -1
 790. cell_x_ul_tx_99               : -1
 791. ul_total_bytes_non_incr_99    : 420
 792. dl_total_bytes_non_incr_99    : 7985133
 793. dl_bitrate_100                : 13672079
 794. ul_bitrate_100                : 58809
 795. cell_x_dl_retx_100            : -1
 796. cell_x_dl_tx_100              : -1
 797. cell_x_ul_retx_100            : -1
 798. cell_x_ul_tx_100              : -1
 799. ul_total_bytes_non_incr_100   : 420
 800. dl_total_bytes_non_incr_100   : 8666489
 801. dl_bitrate_101                : 11784937
 802. ul_bitrate_101                : 58502
 803. cell_x_dl_retx_101            : -1
 804. cell_x_dl_tx_101              : -1
 805. cell_x_ul_retx_101            : -1
 806. cell_x_ul_tx_101              : -1
 807. ul_total_bytes_non_incr_101   : 420
 808. dl_total_bytes_non_incr_101   : 7455505
 809. dl_bitrate_102                : 13235991
 810. ul_bitrate_102                : 57861
 811. cell_x_dl_retx_102            : -1
 812. cell_x_dl_tx_102              : -1
 813. cell_x_ul_retx_102            : -1
 814. cell_x_ul_tx_102              : -1
 815. ul_total_bytes_non_incr_102   : 420
 816. dl_total_bytes_non_incr_102   : 8363116
 817. dl_bitrate_103                : 13884134
 818. ul_bitrate_103                : 58223
 819. cell_x_dl_retx_103            : -1
 820. cell_x_dl_tx_103              : -1
 821. cell_x_ul_retx_103            : -1
 822. cell_x_ul_tx_103              : -1
 823. ul_total_bytes_non_incr_103   : 420
 824. dl_total_bytes_non_incr_103   : 8768108
 825. dl_bitrate_104                : 11003753
 826. ul_bitrate_104                : 58748
 827. cell_x_dl_retx_104            : -1
 828. cell_x_dl_tx_104              : -1
 829. cell_x_ul_retx_104            : -1
 830. cell_x_ul_tx_104              : -1
 831. ul_total_bytes_non_incr_104   : 420
 832. dl_total_bytes_non_incr_104   : 7021928
 833. dl_bitrate_105                : 15067490
 834. ul_bitrate_105                : 57960
 835. cell_x_dl_retx_105            : -1
 836. cell_x_dl_tx_105              : -1
 837. cell_x_ul_retx_105            : -1
 838. cell_x_ul_tx_105              : -1
 839. ul_total_bytes_non_incr_105   : 420
 840. dl_total_bytes_non_incr_105   : 9528276
 841. dl_bitrate_106                : 13094848
 842. ul_bitrate_106                : 58298
 843. cell_x_dl_retx_106            : -1
 844. cell_x_dl_tx_106              : -1
 845. cell_x_ul_retx_106            : -1
 846. cell_x_ul_tx_106              : -1
 847. ul_total_bytes_non_incr_106   : 504
 848. dl_total_bytes_non_incr_106   : 8260906
 849. dl_bitrate_107                : 13841270
 850. ul_bitrate_107                : 59964
 851. cell_x_dl_retx_107            : -1
 852. cell_x_dl_tx_107              : -1
 853. cell_x_ul_retx_107            : -1
 854. cell_x_ul_tx_107              : -1
 855. ul_total_bytes_non_incr_107   : 420
 856. dl_total_bytes_non_incr_107   : 8825804
 857. dl_bitrate_108                : 11468060
 858. ul_bitrate_108                : 58562
 859. cell_x_dl_retx_108            : -1
 860. cell_x_dl_tx_108              : -1
 861. cell_x_ul_retx_108            : -1
 862. cell_x_ul_tx_108              : -1
 863. ul_total_bytes_non_incr_108   : 420
 864. dl_total_bytes_non_incr_108   : 7207847
 865. dl_bitrate_109                : 13428719
 866. ul_bitrate_109                : 59102
 867. cell_x_dl_retx_109            : -1
 868. cell_x_dl_tx_109              : -1
 869. cell_x_ul_retx_109            : -1
 870. cell_x_ul_tx_109              : -1
 871. ul_total_bytes_non_incr_109   : 420
 872. dl_total_bytes_non_incr_109   : 8504024
 873. dl_bitrate_110                : 14335649
 874. ul_bitrate_110                : 59648
 875. cell_x_dl_retx_110            : -1
 876. cell_x_dl_tx_110              : -1
 877. cell_x_ul_retx_110            : -1
 878. cell_x_ul_tx_110              : -1
 879. ul_total_bytes_non_incr_110   : 420
 880. dl_total_bytes_non_incr_110   : 9018159
 881. dl_bitrate_111                : 11523420
 882. ul_bitrate_111                : 59696
 883. cell_x_dl_retx_111            : -1
 884. cell_x_dl_tx_111              : -1
 885. cell_x_ul_retx_111            : -1
 886. cell_x_ul_tx_111              : -1
 887. ul_total_bytes_non_incr_111   : 420
 888. dl_total_bytes_non_incr_111   : 6910391
 889. dl_bitrate_112                : 14161386
 890. ul_bitrate_112                : 59464
 891. cell_x_dl_retx_112            : -1
 892. cell_x_dl_tx_112              : -1
 893. cell_x_ul_retx_112            : -1
 894. cell_x_ul_tx_112              : -1
 895. ul_total_bytes_non_incr_112   : 420
 896. dl_total_bytes_non_incr_112   : 9367085
 897. dl_bitrate_113                : 13336884
 898. ul_bitrate_113                : 58295
 899. cell_x_dl_retx_113            : -1
 900. cell_x_dl_tx_113              : -1
 901. cell_x_ul_retx_113            : -1
 902. cell_x_ul_tx_113              : -1
 903. ul_total_bytes_non_incr_113   : 420
 904. dl_total_bytes_non_incr_113   : 8448942
 905. dl_bitrate_114                : 13398263
 906. ul_bitrate_114                : 58540
 907. cell_x_dl_retx_114            : -1
 908. cell_x_dl_tx_114              : -1
 909. cell_x_ul_retx_114            : -1
 910. cell_x_ul_tx_114              : -1
 911. ul_total_bytes_non_incr_114   : 504
 912. dl_total_bytes_non_incr_114   : 8374768
 913. dl_bitrate_115                : 11062016
 914. ul_bitrate_115                : 58864
 915. cell_x_dl_retx_115            : -1
 916. cell_x_dl_tx_115              : -1
 917. cell_x_ul_retx_115            : -1
 918. cell_x_ul_tx_115              : -1
 919. ul_total_bytes_non_incr_115   : 420
 920. dl_total_bytes_non_incr_115   : 7068334
 921. dl_bitrate_116                : 13100953
 922. ul_bitrate_116                : 58514
 923. cell_x_dl_retx_116            : -1
 924. cell_x_dl_tx_116              : -1
 925. cell_x_ul_retx_116            : -1
 926. cell_x_ul_tx_116              : -1
 927. ul_total_bytes_non_incr_116   : 420
 928. dl_total_bytes_non_incr_116   : 8318301
 929. dl_bitrate_117                : 14166645
 930. ul_bitrate_117                : 60190
 931. cell_x_dl_retx_117            : -1
 932. cell_x_dl_tx_117              : -1
 933. cell_x_ul_retx_117            : -1
 934. cell_x_ul_tx_117              : -1
 935. ul_total_bytes_non_incr_117   : 420
 936. dl_total_bytes_non_incr_117   : 8910353
 937. dl_bitrate_118                : 10990155
 938. ul_bitrate_118                : 58984
 939. cell_x_dl_retx_118            : -1
 940. cell_x_dl_tx_118              : -1
 941. cell_x_ul_retx_118            : -1
 942. cell_x_ul_tx_118              : -1
 943. ul_total_bytes_non_incr_118   : 420
 944. dl_total_bytes_non_incr_118   : 6879397
 945. dl_bitrate_119                : 14480136
 946. ul_bitrate_119                : 60052
 947. cell_x_dl_retx_119            : -1
 948. cell_x_dl_tx_119              : -1
 949. cell_x_ul_retx_119            : -1
 950. cell_x_ul_tx_119              : -1
 951. ul_total_bytes_non_incr_119   : 420
 952. dl_total_bytes_non_incr_119   : 9310885
 953. dl_bitrate_120                : 13135106
 954. ul_bitrate_120                : 57039
 955. cell_x_dl_retx_120            : -1
 956. cell_x_dl_tx_120              : -1
 957. cell_x_ul_retx_120            : -1
 958. cell_x_ul_tx_120              : -1
 959. ul_total_bytes_non_incr_120   : 420
 960. dl_total_bytes_non_incr_120   : 8250014
 961. hour                          : 18
 962. dayofweek                     : 6
 963. day                           : 24
 964. month                         : 3
 965. is_weekend                    : 1
